eps_s,eps_t,Equilibrium Temperature Difference (T_eq - T_atm)
0.0,0.67,-9.698191847627697
0.0,0.68,-9.802362056146706
0.0,0.69,-9.905709176806795
0.0,0.7,-10.008243928910588
0.0,0.71,-10.109976832795383
0.0,0.72,-10.21091821462727
0.0,0.73,-10.31107821111982
0.0,0.74,-10.41046677407627
0.0,0.75,-10.509093674803523
0.0,0.76,-10.606968508389002
0.0,0.77,-10.704100697887043
0.0,0.78,-10.800499498310046
0.0,0.79,-10.896174000579038
0.0,0.8,-10.991133135320638
0.0,0.81,-11.08538567656393
0.0,0.82,-11.178940245331034
0.0,0.83,-11.27180531311933
0.0,0.84,-11.363989205319001
0.0,0.85,-11.45550010446567
0.0,0.86,-11.546346053473144
0.0,0.87,-11.636534958739674
0.0,0.88,-11.726074593176293
0.0,0.89,-11.814972599151702
0.0,0.9,-11.903236491350356
0.0,0.91,-11.990873659586043
0.0,0.92,-12.077891371471196
0.0,0.93,-12.16429677508495
0.0,0.94,-12.250096901533482
0.0,0.95,-12.335298667449479
0.0,0.96,-12.419908877425996
0.0,0.97,-12.503934226379386
0.0,0.98,-12.587381301884363
0.0,0.99,-12.670256586378173
0.0,1.0,-12.752566459380205
0.01,0.0,1.960589867694864
0.01,0.01,1.7462499485191643
0.01,0.02,1.534631160461572
0.01,0.03,1.325673964412772
0.01,0.04,1.1193207150566309
0.01,0.05,0.9155155814959812
0.01,0.06,0.7142044718857505
0.01,0.07,0.5153349620626386
0.01,0.08,0.31885622774143485
0.01,0.09,0.124718980123248
0.01,0.1,-0.06712459517746083
0.01,0.11,-0.2567208963731673
0.01,0.12,-0.444114960679201
0.01,0.13,-0.6293505169492732
0.01,0.14,-0.8124700357838037
0.01,0.15,-0.9935147772034725
0.01,0.16,-1.1725248361112222
0.01,0.17,-1.3495391856300785
0.01,0.18,-1.5245957184393433
0.01,0.19,-1.6977312862206304
0.01,0.2,-1.8689817373164601
0.01,0.21,-2.0383819526909406
0.01,0.22,-2.2059658803261755
0.01,0.23,-2.3717665680295568
0.01,0.24,-2.5358161948811357
0.01,0.25,-2.698146101281452
0.01,0.26,-2.8587868177165774
0.01,0.27,-3.0177680922923287
0.01,0.28,-3.1751189171417877
0.01,0.29,-3.3308675536550254
0.01,0.3,-3.485041556737201
0.01,0.31,-3.6376677980297814
0.01,0.32,-3.788772488192649
0.01,0.33,-3.9383811982781367
0.01,0.34,-4.086518880279925
0.01,0.35,-4.2332098867964305
0.01,0.36,-4.378477989986891
0.01,0.37,-4.522346399749324
0.01,0.38,-4.664837781192205
0.01,0.39,-4.805974271468244
0.01,0.4,-4.945777495889956
0.01,0.41,-5.084268583509299
0.01,0.42,-5.221468182071476
0.01,0.43,-5.357396472417179
0.01,0.44,-5.492073182343347
0.01,0.45,-5.625517599988029
0.01,0.46,-5.7577485866554525
0.01,0.47,-5.888784589247223
0.01,0.48,-6.018643652209164
0.01,0.49,-6.147343429057457
0.01,0.5,-6.274901193490223
0.01,0.51,-6.40133385013803
0.01,0.52,-6.526657944873477
0.01,0.53,-6.650889674828761
0.01,0.54,-6.774044898033367
0.01,0.55,-6.896139142720642
0.01,0.56,-7.017187616354761
0.01,0.57,-7.13720521427615
