H,Control,05um,1um,2um,4um,8um
0.5,-22.014135921681316,-41.17497384060317,-39.040396127045256,-42.18159249344404,-37.61878763182341,-34.327579195796716
1.077217345015942,-12.927651204124459,-27.50944869865583,-25.574987319281718,-28.025449249408325,-24.031674157087423,-21.441107488771422
2.320794416806389,-6.896762130973229,-16.3613731738306,-14.938645829631014,-16.58111147677988,-13.725769704737218,-12.014498461183507
4.999999999999999,-3.449458811145405,-8.822908610899162,-7.9470391278802595,-8.905386729732527,-7.183570199969438,-6.205097013617433
10.772173450159416,-1.662248403541696,-4.444222626682858,-3.969164258220019,-4.474262752558275,-3.552369487853241,-3.04465424331039
23.2079441680639,-0.7856339700063586,-2.1501395289227503,-1.9113939904782455,-2.1616018823343097,-1.7015683543741034,-1.452397479817023
49.999999999999986,-0.36779328636771424,-1.0182911098897307,-0.9031001779092662,-1.0229821295243937,-0.801817813356763,-0.6830149581685987
107.7217345015942,-0.17140015103478845,-0.4771815640997943,-0.4227217871945754,-0.47921236179740845,-0.3748320051366818,-0.31898440829672836
232.07944168063887,-0.07970567429299535,-0.2224816362145816,-0.1969843980685937,-0.2233914881912824,-0.1745623442698161,-0.1484857576179479
500.0,-0.03702825532724319,-0.10348262876340186,-0.09160007428164363,-0.1038977643815997,-0.08115053298803332,-0.06901330602414646
