Wavelength(um),Transmittance,SEBSControl,05um,1um,2um,4um,8um
2.5,0.1871749471,0,0,0,0,0.00009716302498,0
2.51,0.1871749471,0,0,0,0,0,0
2.52,0.1581115867,0,0,0,0,0,0
2.53,0.1581115867,0,0,0,0,0,0
2.54,0.15158716,0,0,0,0,0,0
2.55,0.15158716,0,0,0,0,0,0
2.56,0.15158716,0,0,0,0,0,0
2.57,0.09322319,0,0,0,0,0,0
2.58,0.09322319,0,0,0,0,0,0
2.59,0.09322319,0,0,0,0,0,0
2.6,0.04624731,0,0,0,0,0,0
2.61,0.04624731,0,0,0,0,0,0
2.8,0.05194136,0,0.0001206743891,0,0,0,0
2.81,0.05194136,0,0.001133773218,0,0,0,0
2.82,0.05194136,0,0.001722455979,0,0,0,0
2.83,0.06617647,0,0.001819195238,0,0,0,0
2.84,0.06617647,0,0.002533973391,0,0,0,0
2.85,0.06617647,0,0.002937213389,0,0,0,0
2.86,0.07187052,0,0.003107323624,0,0,0,0
2.87,0.07187052,0.0002693344394,0.003647984049,0,0,0,0
2.88,0.0818351,0.0005733950688,0.003673635604,0,0,0,0
2.89,0.0818351,0.0004802005552,0.003938609781,0,0,0,0
2.9,0.0818351,0.0006900624968,0.004026205242,0,0,0,0
2.91,0.070802885,0.0008142786141,0.004292896402,0,0,0,0
2.92,0.070802885,0.000627223481,0.004311703162,0,0,0,0
2.93,0.081479215,0.0006380435083,0.004249797346,0,0,0,0
2.94,0.081479215,0.0004915587815,0.004244753779,0,0,0,0
2.95,0.081479215,0.0008637785492,0.004270397223,0,0,0,0
2.96,0.090732045,0.0006884635923,0.004122540812,0,0,0,0
2.97,0.090732045,0.0006378334644,0.004035377111,0,0,0,0.00004710789406
2.98,0.090732045,0.0003674868363,0.004035826795,0,0,0,0.00007396633675
2.99,0.09856136,0.0003163129871,0.003504353676,0,0,0,0.0001978821881
3,0.09856136,0.0001097068401,0.003273734786,0,0,0,0.00009050773792
3.01,0.111728835,0,0.002930791849,0,0,0,0.000001591073647
3.02,0.111728835,0,0.002735623981,0,0,0,0.0000005691983461
3.03,0.111728835,0,0.002610007763,0,0,0,0
3.04,0.13913143,0,0.002355725568,0,0,0,0
3.05,0.13913143,0,0.002302686314,0,0,0,0
3.06,0.13913143,0,0.00202214782,0,0,0,0
3.07,0.15585769,0,0.001856458461,0,0,0,0
3.08,0.15585769,0,0.001769112298,0,0,0,0
3.09,0.157992965,0,0.001606371509,0,0,0,0
3.1,0.157992965,0,0.001479693318,0,0,0,0
3.11,0.157992965,0,0.001017431998,0,0,0,0
3.12,0.16012823,0,0.001259833706,0,0,0,0
3.13,0.16012823,0,0.0008918478074,0,0,0,0
3.14,0.1686693,0,0.0009383109149,0,0,0,0
3.15,0.1686693,0,0.0008527305223,0,0,0.0000008957035789,0
3.16,0.1686693,0,0.0006594711062,0,0,0.00004090833636,0
3.17,0.17222808,0,0.0005819186189,0,0,0.00006027767445,0
3.18,0.17222808,0,0.0007271177411,0,0,0.0000806815935,0
3.19,0.17222808,0,0.0008713630441,0,0,0.0002803229402,0
3.2,0.17222808,0,0.0006850079541,0,0,0.0005895060138,0
3.21,0.17222808,0,0.001068010875,0,0.00001915620974,0.001374066138,0.00004326008614
3.22,0.17365159,0.0009827847329,0.002676539408,0,0.001315648837,0.00327816738,0.001567148756
3.23,0.17365159,0.001405053866,0.003318828445,0.0002202445895,0.001936132923,0.003769044329,0.001853608993
3.24,0.17365159,0.006513671914,0.007905830395,0.004875762965,0.007107990583,0.009165345235,0.006993616157
3.25,0.2218137267,0.006622756391,0.008128363459,0.004890750477,0.007185368158,0.009281487505,0.007265134906
3.26,0.2218137267,0.008880528466,0.01027382796,0.007270243413,0.009363437392,0.01161007965,0.009573514348
3.27,0.2350998333,0.01252377049,0.0133684138,0.01044444335,0.01295146809,0.01523920169,0.01299642788
3.28,0.2350998333,0.006570274094,0.007993502264,0.004938058889,0.007743135856,0.009553233064,0.007430089981
3.29,0.2350998333,0.009019987645,0.01004915688,0.00731204004,0.009981322961,0.01196522102,0.009710902409
